SKU,Number,Price,Lock Function,Image,Application,Backset Dimensions,Minimum Door Thickness,Use,Door Type,Interior Operation,Exterior Operation,Operation Remarks,Trim Type,Anti-Ligature,Locking,Upside Down Configuration,Emergency Egress,Electrified,Keyed,Grade 1,Face Plate Width,Face Plate Height,Case Width,Case Height,Case Depth,Door Application,Beveled Latch,UL Listed,Finishes,ANSI,Corrosion Grade
,9000ADL,0,Active Dummy Lock,,Residential;Commercial;Institutional,"Custom;2 1/2"";2 3/4"";3 3/4"";5"";6""","1 3/8""",Interior,Swinging,Active handle,Active handle,,Lever x Lever;Knob x Knob;Thumb Piece x Lever;Thumb Piece x Knob;Thumb Piece x Thumb Piece;Knob x Lever;Lever x Knob,1,0,1,1,0,0,1,"1""","8""","15/16""","6 1/16""","3 5/8"";3 7/8"";4 7/8"";6 1/8"";7 1/8"";Custom",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,,
,9001,0,Deadlock,,Residential;Commercial;Institutional,"Custom;2 1/2"";2 3/4"";3 3/4"";5"";6""","1 3/8""",Interior;Exterior,Swinging,,Dead bolt by key outside,,,1,1,1,1,0,1,1,"1""","8""","15/16""","6 1/16""","3 5/8"";3 7/8"";4 7/8"";6 1/8"";7 1/8"";Custom",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,F18,
,9002,0,Deadlock,,Residential;Commercial;Institutional,"Custom;2 1/2"";2 3/4"";3 3/4"";5"";6""","1 3/8""",Interior;Exterior,Swinging,Dead bolt by key inside,Dead bolt by key outside,,,1,1,1,0,0,1,1,"1""","8""","15/16""","6 1/16""","3 5/8"";3 7/8"";4 7/8"";6 1/8"";7 1/8"";Custom",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,F16,
,9003,0,Deadlock,,Residential;Commercial;Institutional,"Custom;2 1/2"";2 3/4"";3 3/4"";5"";6""","1 3/8""",Interior;Exterior,Swinging,Dead bolt by thumb turn inside,Dead bolt by key outside,,,1,1,1,1,0,1,1,"1""","8""","15/16""","6 1/16""","3 5/8"";3 7/8"";4 7/8"";6 1/8"";7 1/8"";Custom",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,F17,
,9003ST,0,Classroom Deadlock,,Institutional,"Custom;2 1/2"";2 3/4"";3 3/4"";5"";6""","1 3/8""",Interior,Swinging,Thumb turn to retract dead bolt (thumb turn cannot project dead bolt),Dead bolt by key outside,,,1,1,1,1,0,1,1,"1""","8""","15/16""","6 1/16""","3 5/8"";3 7/8"";4 7/8"";6 1/8"";7 1/8"";Custom",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,,
,9004,0,Deadlock,,Residential;Commercial;Institutional,"Custom;2 1/2"";2 3/4"";3 3/4"";5"";6""","1 3/8""",Interior;Exterior,Swinging,Dead bolt by thumb turn inside,,,,1,1,1,1,0,0,1,"1""","8""","15/16""","6 1/16""","3 5/8"";3 7/8"";4 7/8"";6 1/8"";7 1/8"";Custom",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,,
,9005,0,Deadlock,,Residential;Commercial;Institutional,"Custom;2 1/2"";2 3/4"";3 3/4"";5"";6""","1 3/8""",Interior,Swinging,Dead bolt by thumb turn inside,Dead bolt by emergency release outside,,,1,1,1,1,0,0,1,"1""","8""","15/16""","6 1/16""","3 5/8"";3 7/8"";4 7/8"";6 1/8"";7 1/8"";Custom",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,,
,9022,0,Store Door Lock,,Residential;Commercial;Institutional,"Custom;2 1/2"";2 3/4"";3 3/4"";5"";6""","1 3/8""",Interior;Exterior,Swinging,Latch bolt by handle inside;Dead bolt by key inside,Latch bolt by handle outside;Dead bolt by key outside,Independent operation of latch bolt and dead bolt,Lever x Lever;Knob x Knob;Thumb Piece x Lever;Thumb Piece x Knob;Thumb Piece x Thumb Piece;Knob x Lever;Lever x Knob,1,1,1,0,0,1,1,"1""","8""","15/16""","6 1/16""","3 5/8"";3 7/8"";4 7/8"";6 1/8"";7 1/8"";Custom",Single;Double,1,1,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,F14,
,9024,0,"Dormitory, Entrance, Patio or Storeroom Lock",,Residential;Commercial;Institutional,"Custom;2 1/2"";2 3/4"";3 3/4"";5"";6""","1 3/8""",Interior;Exterior,Swinging,Latch bolt by handle inside;Dead bolt by thumb turn inside,Latch bolt by handle outside (when dead bolt is not thrown);Dead bolt by key outside,"A turn of inside handle retracts latch and dead bolt simultaneously, automatically unlocking outside handle",Lever x Lever;Knob x Knob;Thumb Piece x Lever;Thumb Piece x Knob;Thumb Piece x Thumb Piece;Knob x Lever;Lever x Knob,1,1,1,1,0,1,1,"1""","8""","15/16""","6 1/16""","3 5/8"";3 7/8"";4 7/8"";6 1/8"";7 1/8"";Custom",Single;Double,1,1,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,F13,
,9025,0,Passage and Closet Latch,,Residential;Commercial;Institutional,"Custom;2 1/2"";2 3/4"";3 3/4"";5"";6""","1 3/8""",Interior,Swinging,Latch bolt by handle inside,Latch bolt by handle outside,,Lever x Lever;Knob x Knob;Thumb Piece x Lever;Thumb Piece x Knob;Thumb Piece x Thumb Piece;Knob x Lever;Lever x Knob,1,0,1,1,0,0,1,"1""","8""","15/16""","6 1/16""","3 5/8"";3 7/8"";4 7/8"";6 1/8"";7 1/8"";Custom",Single;Double,1,1,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,F01,
