SKU,Number,Price,Lock Function,Image,Application,Backset Dimensions,Minimum Door Thickness,Use,Door Type,Interior Operation,Exterior Operation,Operation Remarks,Trim Type,Anti-Ligature,Locking,Upside Down Configuration,Emergency Egress,Electrified,Keyed,Grade 1,Face Plate Width,Face Plate Height,Case Width,Case Height,Case Depth,Door Application,Beveled Latch,UL Listed,Finishes,ANSI,Corrosion Grade
,8600ADL,0,Active Dummy Lock,,Residential;Commercial;Institutional,"1 1/4"";1 1/2"";1 3/4"";2"";2 1/4""","1 3/8""",Interior,Swinging,Active handle,Active handle,,Lever x Lever;Knob x Knob (Custom),0,0,1,1,0,0,0,"1""","8""","27/32""","6 1/16""","2 1/32"";2 9/32"";2 17/32"";2 25/32"";3 1/32""",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,,
,8601,0,Deadlock,,Residential;Commercial;Institutional,"1 1/4"";1 1/2"";1 3/4"";2"";2 1/4""","1 3/8""",Interior;Exterior,Swinging,,Dead bolt by key outside,,,0,1,1,1,0,1,0,"1""","8""","27/32""","6 1/16""","2 1/32"";2 9/32"";2 17/32"";2 25/32"";3 1/32""",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,F18,
,8602,0,Deadlock,,Residential;Commercial;Institutional,"1 1/4"";1 1/2"";1 3/4"";2"";2 1/4""","1 3/8""",Interior;Exterior,Swinging,Dead bolt by key inside,Dead bolt by key outside,,,0,1,1,0,0,1,0,"1""","8""","27/32""","6 1/16""","2 1/32"";2 9/32"";2 17/32"";2 25/32"";3 1/32""",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,F16,
,8603,0,Deadlock,,Residential;Commercial;Institutional,"1 1/4"";1 1/2"";1 3/4"";2"";2 1/4""","1 3/8""",Interior;Exterior,Swinging,Dead bolt by thumb turn inside,Dead bolt by key outside,,,0,1,1,1,0,1,0,"1""","8""","27/32""","6 1/16""","2 1/32"";2 9/32"";2 17/32"";2 25/32"";3 1/32""",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,F17,
,8604,0,Deadlock,,Residential;Commercial;Institutional,"1 1/4"";1 1/2"";1 3/4"";2"";2 1/4""","1 3/8""",Interior;Exterior,Swinging,Dead bolt by thumb turn inside,,,,0,1,1,1,0,0,0,"1""","8""","27/32""","6 1/16""","2 1/32"";2 9/32"";2 17/32"";2 25/32"";3 1/32""",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,,
,8605,0,Deadlock,,Residential;Commercial;Institutional,"1 1/4"";1 1/2"";1 3/4"";2"";2 1/4""","1 3/8""",Interior,Swinging,Dead bolt by thumb turn inside,Dead bolt by emergency release outside,,,0,1,1,1,0,0,0,"1""","8""","27/32""","6 1/16""","2 1/32"";2 9/32"";2 17/32"";2 25/32"";3 1/32""",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,,
,8622,0,Store Door Lock,,Residential;Commercial;Institutional,"1 1/4"";1 1/2"";1 3/4"";2"";2 1/4""","1 3/8""",Interior;Exterior,Swinging,Latch bolt by handle inside;Dead bolt by key inside,Latch bolt by handle outside;Dead bolt by key outside,Independent operation of latch bolt and dead bolt,Lever x Lever;Knob x Knob (Custom),0,1,1,0,0,1,0,"1""","8""","27/32""","6 1/16""","2 1/32"";2 9/32"";2 17/32"";2 25/32"";3 1/32""",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,F14,
,8624,0,"Dormitory, Entrance, Patio or Storeroom Lock",,Residential;Commercial;Institutional,"1 1/4"";1 1/2"";1 3/4"";2"";2 1/4""","1 3/8""",Interior;Exterior,Swinging,Latch bolt by handle inside;Dead bolt by thumb turn inside,Latch bolt by handle outside (when dead bolt is not thrown);Dead bolt by key outside,,Lever x Lever;Knob x Knob (Custom),0,1,1,1,0,1,0,"1""","8""","27/32""","6 1/16""","2 1/32"";2 9/32"";2 17/32"";2 25/32"";3 1/32""",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,F21,
,8625,0,Passage and Closet Latch,,Residential;Commercial;Institutional,"1 1/4"";1 1/2"";1 3/4"";2"";2 1/4""","1 3/8""",Interior,Swinging,Latch bolt by handle inside,Latch bolt by handle outside,,Lever x Lever;Knob x Knob (Custom),0,0,1,1,0,0,0,"1""","8""","27/32""","6 1/16""","2 1/32"";2 9/32"";2 17/32"";2 25/32"";3 1/32""",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,F01,
,8639,0,Privacy Bedroom or Bathroom Lock,,Residential;Commercial,"1 1/4"";1 1/2"";1 3/4"";2"";2 1/4""","1 3/8""",Interior,Swinging,Latch bolt by handle inside;Dead bolt by turn piece inside,Latch bolt by handle outside (when dead bolt is not thrown);Dead bolt by optional emergency key outside,,Lever x Lever;Knob x Knob (Custom),0,1,1,1,0,0,0,"1""","8""","27/32""","6 1/16""","2 1/32"";2 9/32"";2 17/32"";2 25/32"";3 1/32""",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,,
,8648,0,Entrance or Apartment Lock,,Residential;Commercial,"1 1/4"";1 1/2"";1 3/4"";2"";2 1/4""","1 3/8""",Interior;Exterior,Swinging,Latch bolt by handle inside;Dead bolt by turn piece inside,Latch bolt by key outside;Latch bolt by handle outside unless outside handle is locked by toggle action stop;Dead bolt by key outside,,Lever x Lever;Knob x Knob (Custom),0,1,0,1,0,1,0,"1""","8""","27/32""","6 1/16""","2 1/32"";2 9/32"";2 17/32"";2 25/32"";3 1/32""",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,,
,8656,0,Entrance or Office Lock,,Residential;Commercial;Institutional,"1 1/4"";1 1/2"";1 3/4"";2"";2 1/4""","1 3/8""",Interior;Exterior,Swinging,Latch bolt by handle inside,Latch bolt by key outside;Latch bolt by handle outside unless outside handle is locked by toggle-action stop,"Toggle in front locks outside handle
Auxiliary latch deadlocks latch bolt",Lever x Lever;Knob x Knob (Rotation 1-way only),0,1,0,1,0,1,0,"1""","8""","27/32""","6 1/16""","2 1/32"";2 9/32"";2 17/32"";2 25/32"";3 1/32""",Single;Double,0,0,USP;US3;US3NL;US4;US4NL;US26;US26D;US32;US32D;US5;US10;US10B;US14;US15;US15A;US19;OTHER,F04,
